salario,gasto_mensal,genero,filhos,escolaridade,imovel,empreendedor,perfil
3586,3093,m,4,Pós graduado,Não,Não,Conservador
3317,2693,f,5,Médio Completo,Não,Não,Conservador
10266,5842,m,2,Superior Completo,Não,SIM,Moderado
9173,3849,f,3,Médio Completo,SIM,Não,Conservador
3538,3374,f,5,Superior Incompleto,SIM,Não,Não Investidor
21177,7604,m,3,Superior Completo,SIM,SIM,Agressivo
12710,8082,f,2,Pós graduado,Não,Não,Moderado
15133,7539,m,2,Superior Completo,SIM,Não,Moderado
1376,1144,m,5,Médio Incompleto,Não,Não,Não Investidor
7913,5220,m,2,Superior Completo,Não,Não,Conservador
6866,5050,m,5,Médio Completo,Não,Não,Conservador
1225,1015,f,3,Fundamental Completo,SIM,Não,Não Investidor
16206,9472,m,3,Superior Completo,Não,SIM,Agressivo
17877,7640,f,3,Pós graduado,Não,Não,Agressivo
2599,2008,n,2,Médio Completo,SIM,Não,Conservador
16127,6246,m,0,Superior Completo,SIM,Não,Agressivo
1672,1280,f,3,Superior Incompleto,Não,SIM,Não Investidor
4702,1326,m,3,Pós graduado,Não,SIM,Conservador
14970,13058,m,1,Pós graduado,SIM,Não,Moderado
3790,1079,m,5,Superior Incompleto,SIM,SIM,Não Investidor
1059,874,f,5,Pós graduado,SIM,Não,Conservador
3428,2952,m,2,Médio Incompleto,SIM,Não,Não Investidor
9014,8527,n,1,Pós graduado,SIM,SIM,Moderado
1851,1600,m,4,Médio Incompleto,SIM,SIM,Não Investidor
9646,6045,f,4,Superior Incompleto,Não,SIM,Conservador
14388,9283,n,1,Pós graduado,SIM,Não,Moderado
9814,3994,f,1,Pós graduado,SIM,Não,Moderado
2770,1535,f,3,Pós graduado,Não,SIM,Conservador
21783,6014,f,1,Pós graduado,Não,Não,Agressivo
3949,3859,f,4,Fundamental Incompleto,Não,SIM,Não Investidor
15565,13511,f,2,Superior Completo,Não,Não,Moderado
13262,7051,m,1,Superior Completo,Não,Não,Moderado
14112,13302,f,1,Superior Incompleto,SIM,Não,Moderado
18667,8990,f,0,Pós graduado,SIM,SIM,Agressivo
2247,1112,m,4,Médio Completo,Não,Não,Não Investidor
2753,2699,m,5,Médio Completo,SIM,SIM,Não Investidor
12053,10845,m,2,Superior Completo,Não,SIM,Moderado
3298,2142,m,3,Fundamental Incompleto,Não,SIM,Não Investidor
3375,1267,m,3,Pós graduado,Não,Não,Conservador
4296,3768,m,2,Superior Incompleto,SIM,SIM,Não Investidor
15352,7600,m,1,Superior Completo,Não,SIM,Moderado
15275,8225,m,1,Superior Completo,Não,SIM,Moderado
3853,2300,m,2,Médio Completo,Não,SIM,Não Investidor
10052,5154,m,2,Superior Incompleto,SIM,Não,Moderado
11470,7743,m,1,Superior Incompleto,Não,SIM,Moderado
23304,18232,m,0,Pós graduado,Não,Não,Agressivo
3336,2995,n,5,Fundamental Incompleto,SIM,SIM,Não Investidor
24798,5124,m,3,Pós graduado,SIM,Não,Agressivo
1053,1003,f,4,Fundamental Completo,Não,Não,Não Investidor
2988,2675,f,5,Fundamental Completo,Não,Não,Não Investidor
10946,8074,f,1,Superior Incompleto,SIM,SIM,Moderado
17116,9627,m,3,Pós graduado,Não,SIM,Agressivo
3289,1561,m,3,Fundamental Completo,Não,Não,Não Investidor
1659,1259,f,4,Superior Completo,SIM,SIM,Conservador
7267,1277,m,5,Médio Completo,SIM,Não,Conservador
20685,11168,n,2,Superior Incompleto,SIM,SIM,Não Investidor
13638,10506,m,2,Pós graduado,SIM,SIM,Moderado
21428,8140,m,3,Pós graduado,Não,Não,Agressivo
3669,3432,n,3,Pós graduado,Não,Não,Conservador
5709,3093,m,5,Superior Completo,SIM,SIM,Conservador
3998,1340,m,2,Superior Incompleto,SIM,SIM,Não Investidor
9004,8222,m,1,Pós graduado,SIM,SIM,Moderado
19371,7833,m,3,Superior Completo,Não,SIM,Agressivo
2671,1074,f,5,Médio Completo,SIM,SIM,Conservador
17453,5379,f,1,Superior Completo,SIM,SIM,Agressivo
9798,8753,f,4,Superior Incompleto,Não,Não,Conservador
10369,6628,f,1,Pós graduado,SIM,Não,Moderado
23270,7682,m,1,Pós graduado,SIM,Não,Agressivo
14537,11673,f,2,Superior Incompleto,Não,SIM,Moderado
17764,7486,f,0,Pós graduado,Não,SIM,Agressivo
3174,1394,f,3,Superior Incompleto,SIM,Não,Conservador
1457,1135,f,3,Médio Completo,SIM,SIM,Conservador
8794,6479,m,1,Superior Incompleto,SIM,SIM,Moderado
3634,2509,m,2,Médio Completo,Não,SIM,Não Investidor
4667,3163,f,2,Superior Incompleto,Não,Não,Conservador
16182,10188,m,2,Superior Incompleto,Não,SIM,Moderado
10085,8059,m,2,Pós graduado,SIM,Não,Moderado
19298,5009,f,1,Superior Completo,Não,SIM,Agressivo
17129,7526,m,1,Pós graduado,SIM,Não,Agressivo
21549,5441,f,0,Pós graduado,SIM,Não,Agressivo
24447,7299,m,0,Superior Completo,SIM,Não,Agressivo
16754,9700,m,1,Superior Incompleto,Não,SIM,Moderado
8668,5052,m,0,Fundamental Completo,Não,SIM,Conservador
5772,5142,m,3,Superior Completo,Não,SIM,Conservador
22484,5890,m,1,Pós graduado,SIM,SIM,Agressivo
3000,2105,m,4,Fundamental Incompleto,SIM,Não,Não Investidor
3931,3095,n,3,Superior Incompleto,Não,Não,Conservador
15091,8050,m,0,Pós graduado,SIM,SIM,Agressivo
20350,9401,m,3,Superior Completo,SIM,Não,Agressivo
3794,1862,f,2,Médio Completo,SIM,SIM,Não Investidor
3821,3222,f,2,Superior Incompleto,Não,Não,Não Investidor
15476,6071,f,2,Pós graduado,SIM,Não,Agressivo
4061,1741,n,2,Médio Completo,SIM,SIM,Não Investidor
18960,5655,m,2,Pós graduado,Não,SIM,Agressivo
21089,9698,f,2,Superior Completo,SIM,Não,Agressivo
6805,3475,m,2,Superior Incompleto,SIM,SIM,Conservador
1887,1757,m,4,Fundamental Incompleto,Não,SIM,Não Investidor
1609,1189,m,3,Fundamental Incompleto,SIM,Não,Não Investidor
2533,2500,f,4,Superior Completo,SIM,Não,Conservador
2479,1122,n,5,Médio Completo,Não,Não,Não Investidor
1270,1057,f,5,Médio Completo,Não,SIM,Não Investidor
22085,5553,m,3,Superior Completo,SIM,SIM,Agressivo
5948,1253,n,5,Superior Incompleto,Não,SIM,Conservador
9346,6829,m,3,Superior Completo,Não,Não,Conservador
16037,10494,m,1,Pós graduado,Não,Não,Moderado
4257,2500,m,4,Fundamental Completo,SIM,Não,Não Investidor
6392,1335,m,2,Médio Completo,SIM,Não,Conservador
22501,7338,f,2,Superior Completo,SIM,Não,Agressivo
6513,847,m,2,Superior Completo,SIM,Não,Conservador
16669,6316,f,0,Superior Completo,SIM,Não,Agressivo
24212,8264,m,0,Superior Completo,Não,SIM,Agressivo
19648,9518,m,2,Superior Completo,SIM,SIM,Agressivo
3485,3317,f,4,Médio Completo,Não,Não,Não Investidor
19397,9747,f,1,Superior Completo,SIM,SIM,Agressivo
6760,2739,m,2,Médio Completo,SIM,SIM,Conservador
2489,1522,f,2,Médio Completo,SIM,SIM,Não Investidor
5705,3562,m,3,Pós graduado,SIM,SIM,Conservador
14623,7276,f,1,Superior Incompleto,Não,Não,Moderado
4976,2395,f,3,Superior Incompleto,SIM,SIM,Não Investidor
1680,1376,m,3,Fundamental Incompleto,SIM,Não,Não Investidor
5104,4060,f,2,Superior Completo,SIM,SIM,Conservador
4183,1613,m,3,Fundamental Incompleto,SIM,SIM,Não Investidor
2717,1233,f,4,Superior Incompleto,SIM,Não,Não Investidor
18417,7526,f,2,Pós graduado,Não,Não,Agressivo
1147,1072,m,2,Superior Incompleto,Não,SIM,Não Investidor
1408,984,m,3,Pós graduado,SIM,Não,Conservador
16620,9865,m,1,Fundamental Incompleto,Não,SIM,Conservador
2667,1546,f,3,Médio Completo,SIM,SIM,Conservador
8559,7766,m,2,Pós graduado,SIM,Não,Moderado
4501,4304,m,2,Médio Completo,SIM,SIM,Conservador
2978,2123,m,5,Médio Incompleto,Não,SIM,Não Investidor
21982,5148,f,3,Superior Completo,SIM,Não,Agressivo
1657,1390,m,5,Médio Completo,SIM,SIM,Conservador
24237,5633,f,2,Superior Completo,SIM,Não,Agressivo
19819,5769,m,0,Superior Completo,SIM,SIM,Agressivo
23232,9452,f,1,Superior Completo,SIM,Não,Agressivo
20671,5856,m,3,Superior Completo,Não,SIM,Agressivo
14217,13730,n,1,Superior Incompleto,Não,SIM,Moderado
16342,5058,m,1,Superior Completo,Não,Não,Moderado
15873,8286,f,2,Superior Incompleto,Não,Não,Moderado
13626,11867,m,2,Pós graduado,SIM,Não,Moderado
4762,4367,m,5,Médio Completo,SIM,Não,Não Investidor
23803,9160,m,0,Pós graduado,SIM,SIM,Agressivo
2325,1835,f,4,Médio Completo,SIM,Não,Conservador
11604,5951,f,2,Superior Incompleto,Não,SIM,Moderado
3316,2807,f,4,Superior Incompleto,SIM,Não,Conservador
18799,9707,m,1,Pós graduado,SIM,SIM,Agressivo
2091,931,m,4,Superior Incompleto,SIM,Não,Conservador
1512,1203,m,5,Fundamental Incompleto,SIM,Não,Não Investidor
19635,1490,f,3,Médio Incompleto,Não,SIM,Não Investidor
8636,7707,m,2,Superior Incompleto,Não,SIM,Moderado
15038,14267,m,1,Superior Completo,Não,SIM,Moderado
1902,1122,m,4,Médio Incompleto,Não,Não,Não Investidor
4738,3768,f,5,Médio Completo,SIM,SIM,Não Investidor
4703,3093,m,3,Superior Incompleto,Não,SIM,Não Investidor
20704,7137,f,0,Pós graduado,SIM,Não,Agressivo
9660,4543,n,4,Pós graduado,SIM,SIM,Conservador
2159,1661,n,0,Fundamental Incompleto,SIM,SIM,Moderado
16794,14508,f,1,Pós graduado,SIM,SIM,Moderado
2520,1872,m,4,Superior Incompleto,SIM,SIM,Conservador
18586,5778,f,3,Pós graduado,Não,SIM,Agressivo
15004,8569,f,1,Superior Completo,SIM,Não,Agressivo
15115,11373,m,2,Pós graduado,SIM,SIM,Moderado
2882,885,m,4,Superior Completo,Não,Não,Conservador
15001,9408,m,1,Superior Completo,SIM,Não,Moderado
1385,1292,m,4,Médio Completo,Não,Não,Não Investidor
6288,3846,f,1,Médio Incompleto,SIM,Não,Agressivo
15757,9491,m,1,Superior Incompleto,Não,Não,Moderado
16646,5937,f,0,Pós graduado,SIM,Não,Agressivo
4709,4627,f,3,Médio Completo,SIM,Não,Não Investidor
6082,4892,f,5,Superior Incompleto,SIM,SIM,Conservador
16308,7722,m,0,Superior Completo,Não,Não,Agressivo
4733,4265,f,5,Médio Incompleto,Não,SIM,Não Investidor
22804,9685,m,3,Superior Completo,Não,Não,Agressivo
9431,2225,n,3,Médio Completo,SIM,Não,Conservador
14046,8848,m,1,Superior Completo,Não,SIM,Moderado
16617,8727,m,1,Pós graduado,SIM,Não,Moderado
11222,6049,f,1,Pós graduado,SIM,SIM,Moderado
4702,1582,m,5,Fundamental Completo,SIM,SIM,Não Investidor
20655,9181,f,0,Superior Completo,Não,Não,Agressivo
12200,10450,m,1,Superior Incompleto,SIM,Não,Moderado
4049,3443,n,5,Pós graduado,SIM,SIM,Conservador
18305,9052,m,2,Superior Completo,Não,Não,Agressivo
10622,5780,f,1,Superior Incompleto,Não,Não,Moderado
16848,7177,f,1,Superior Completo,SIM,SIM,Conservador
2350,1657,n,3,Médio Incompleto,Não,Não,Não Investidor
4707,1837,m,2,Fundamental Incompleto,Não,SIM,Não Investidor
4818,4450,m,2,Superior Completo,SIM,SIM,Conservador
11069,10492,f,1,Superior Incompleto,SIM,Não,Moderado
4846,4475,m,3,Superior Incompleto,SIM,Não,Não Investidor
1925,1438,m,2,Superior Incompleto,Não,Não,Não Investidor
15754,5092,m,1,Pós graduado,SIM,SIM,Moderado
15638,5503,m,2,Superior Completo,SIM,SIM,Moderado
12678,5516,m,1,Pós graduado,Não,Não,Moderado
19474,5689,f,0,Superior Completo,Não,Não,Agressivo
13832,11155,m,1,Superior Completo,SIM,SIM,Moderado
16344,1623,f,4,Pós graduado,SIM,Não,Não Investidor
13734,9571,m,2,Superior Incompleto,Não,Não,Moderado
2363,1582,m,5,Superior Incompleto,SIM,SIM,Não Investidor
9386,5326,m,1,Pós graduado,SIM,Não,Moderado
3893,2053,f,2,Superior Incompleto,Não,SIM,Não Investidor
3860,1890,m,5,Médio Completo,Não,Não,Conservador
22795,8699,f,0,Pós graduado,SIM,Não,Agressivo
1690,1540,m,4,Superior Completo,SIM,SIM,Conservador
11013,5152,m,1,Superior Incompleto,SIM,SIM,Moderado
11179,6372,m,5,Superior Completo,SIM,Não,Agressivo
2718,1981,m,5,Fundamental Completo,Não,SIM,Não Investidor
15657,12490,f,2,Pós graduado,SIM,SIM,Moderado
3718,3303,n,2,Médio Completo,SIM,Não,Não Investidor
1671,1137,f,3,Fundamental Incompleto,Não,SIM,Não Investidor
3211,2369,m,4,Superior Incompleto,Não,SIM,Não Investidor
22577,7440,m,2,Pós graduado,Não,Não,Agressivo
19665,7439,m,2,Pós graduado,Não,SIM,Agressivo
11135,9319,f,1,Superior Completo,Não,SIM,Moderado
1964,1202,m,4,Superior Incompleto,SIM,SIM,Não Investidor
15625,9074,m,1,Superior Completo,SIM,Não,Moderado
4269,3681,m,4,Médio Completo,Não,SIM,Conservador
2081,1402,n,3,Fundamental Completo,Não,SIM,Não Investidor
2930,2270,f,3,Superior Incompleto,SIM,SIM,Conservador
21525,7532,f,2,Pós graduado,SIM,Não,Agressivo
11224,6754,n,2,Pós graduado,Não,Não,Moderado
8517,7133,m,2,Superior Incompleto,Não,Não,Moderado
5087,4126,m,3,Pós graduado,Não,Não,Conservador
3230,1035,m,2,Fundamental Completo,SIM,Não,Não Investidor
8629,7508,f,1,Superior Incompleto,SIM,SIM,Moderado
8255,6152,f,4,Superior Completo,Não,SIM,Conservador
4430,3919,n,3,Superior Incompleto,SIM,SIM,Não Investidor
1537,1076,m,3,Superior Incompleto,Não,SIM,Não Investidor
4198,3661,f,5,Superior Incompleto,Não,Não,Não Investidor
3722,3352,f,3,Superior Incompleto,SIM,Não,Conservador
12273,11279,f,2,Superior Incompleto,SIM,SIM,Moderado
19326,6030,n,3,Superior Completo,Não,Não,Agressivo
20003,5060,m,0,Superior Completo,Não,Não,Agressivo
1295,1139,f,2,Fundamental Incompleto,SIM,Não,Não Investidor
4863,920,n,5,Superior Completo,SIM,SIM,Conservador
20823,18055,n,1,Superior Incompleto,Não,Não,Agressivo
16186,6635,n,3,Pós graduado,SIM,SIM,Agressivo
3983,1212,m,5,Médio Incompleto,Não,SIM,Não Investidor
15464,7937,m,0,Pós graduado,SIM,Não,Agressivo
5207,3724,m,4,Médio Completo,Não,SIM,Conservador
22515,6499,m,3,Superior Completo,SIM,Não,Agressivo
23790,6036,f,2,Pós graduado,SIM,SIM,Agressivo
10075,4015,f,4,Superior Incompleto,Não,Não,Não Investidor
21952,5049,f,3,Superior Completo,Não,SIM,Agressivo
24662,9470,f,1,Pós graduado,SIM,SIM,Agressivo
13728,11273,n,1,Pós graduado,Não,Não,Moderado
14687,9175,n,1,Superior Completo,SIM,Não,Moderado
2342,889,m,4,Pós graduado,Não,SIM,Conservador
2542,1219,m,3,Superior Incompleto,Não,Não,Conservador
3531,2526,m,5,Superior Incompleto,SIM,SIM,Não Investidor
1001,959,f,2,Pós graduado,SIM,SIM,Conservador
11768,7986,f,1,Pós graduado,Não,SIM,Moderado
6117,886,f,4,Superior Incompleto,SIM,SIM,Conservador
2342,1053,m,4,Superior Incompleto,SIM,SIM,Não Investidor
8067,2048,f,3,Superior Incompleto,Não,SIM,Conservador
5919,3531,m,5,Pós graduado,SIM,Não,Conservador
1492,1457,f,4,Fundamental Incompleto,Não,Não,Não Investidor
13819,12933,m,1,Pós graduado,SIM,Não,Moderado
4596,3345,m,4,Médio Incompleto,Não,SIM,Não Investidor
6308,6274,n,3,Fundamental Completo,SIM,Não,Moderado
6682,4278,m,5,Pós graduado,SIM,Não,Conservador
19937,7965,f,1,Pós graduado,Não,SIM,Agressivo
2885,1239,m,3,Superior Completo,SIM,Não,Conservador
9869,1182,m,4,Médio Completo,Não,Não,Conservador
8977,6633,n,2,Médio Completo,SIM,SIM,Conservador
3401,2383,m,5,Médio Incompleto,SIM,SIM,Não Investidor
4844,1653,f,3,Pós graduado,Não,Não,Conservador
8211,4341,f,4,Pós graduado,SIM,SIM,Conservador
13005,1934,n,1,Fundamental Incompleto,Não,Não,Não Investidor
9284,3476,m,5,Médio Completo,Não,SIM,Conservador
2207,1127,m,5,Fundamental Completo,Não,Não,Não Investidor
3093,2813,m,4,Médio Completo,SIM,Não,Não Investidor
1793,1384,m,1,Pós graduado,Não,SIM,Não Investidor
11750,5755,n,2,Pós graduado,Não,SIM,Moderado
13188,8472,m,2,Superior Incompleto,SIM,Não,Moderado
2453,2184,n,3,Médio Incompleto,Não,SIM,Não Investidor
9268,2450,f,5,Pós graduado,Não,Não,Conservador
1648,1223,m,2,Médio Incompleto,Não,Não,Não Investidor
4600,3283,f,2,Médio Completo,Não,Não,Não Investidor
2565,1717,m,3,Médio Incompleto,Não,SIM,Não Investidor
8437,4009,m,4,Pós graduado,Não,Não,Conservador
1323,1098,f,3,Fundamental Completo,SIM,SIM,Não Investidor
8173,5101,f,5,Superior Completo,SIM,SIM,Conservador
2868,1406,m,5,Fundamental Incompleto,Não,Não,Não Investidor
5955,5942,m,4,Superior Incompleto,SIM,Não,Conservador
2783,1193,m,5,Superior Incompleto,SIM,Não,Não Investidor
2501,1611,m,3,Superior Incompleto,Não,Não,Não Investidor
18630,7987,m,2,Pós graduado,Não,Não,Agressivo
21531,7216,n,3,Superior Completo,SIM,Não,Agressivo
4895,4154,m,4,Superior Incompleto,Não,Não,Não Investidor
10419,8021,n,1,Superior Completo,Não,SIM,Moderado
3803,2296,n,2,Médio Incompleto,Não,Não,Não Investidor
19469,7455,f,3,Superior Completo,SIM,Não,Agressivo
1180,983,n,4,Superior Completo,Não,Não,Conservador
10808,4339,n,0,Médio Completo,SIM,SIM,Moderado
14310,5052,f,2,Pós graduado,Não,Não,Moderado
4644,1755,f,2,Médio Completo,SIM,Não,Conservador
5807,5317,m,4,Médio Completo,SIM,SIM,Conservador
18147,6675,m,3,Pós graduado,SIM,Não,Agressivo
5628,2075,m,4,Superior Completo,SIM,SIM,Conservador
18306,5564,m,0,Pós graduado,Não,Não,Agressivo
20529,8622,m,0,Superior Completo,SIM,SIM,Agressivo
15976,7495,m,0,Pós graduado,SIM,SIM,Agressivo
11998,11501,f,2,Pós graduado,Não,Não,Moderado
3293,2477,f,2,Médio Completo,SIM,SIM,Não Investidor
1720,1139,f,4,Fundamental Incompleto,SIM,SIM,Não Investidor
23744,7365,m,1,Superior Completo,SIM,Não,Agressivo
9164,1510,m,5,Superior Completo,SIM,Não,Conservador
12363,9279,f,2,Superior Incompleto,Não,SIM,Moderado
9354,7760,n,2,Superior Completo,SIM,SIM,Moderado
13201,9283,f,2,Pós graduado,Não,Não,Moderado
1980,1722,m,2,Médio Incompleto,Não,Não,Não Investidor
4941,1431,f,4,Superior Incompleto,Não,SIM,Conservador
8235,8156,m,1,Superior Incompleto,SIM,SIM,Moderado
15694,7752,m,0,Superior Completo,Não,Não,Agressivo
1969,1438,m,3,Fundamental Completo,SIM,Não,Não Investidor
14551,11628,f,5,Médio Completo,Não,Não,Agressivo
22290,5952,m,1,Pós graduado,Não,SIM,Agressivo
23779,6278,f,1,Pós graduado,SIM,SIM,Agressivo
1175,1118,f,3,Fundamental Completo,Não,Não,Não Investidor
6768,877,f,5,Superior Incompleto,Não,Não,Conservador
7554,2651,m,5,Pós graduado,Não,Não,Conservador
14025,9462,f,2,Pós graduado,Não,SIM,Moderado
18831,5062,n,0,Superior Completo,Não,SIM,Agressivo
1662,1027,f,3,Superior Incompleto,Não,SIM,Conservador
24291,8197,f,2,Pós graduado,SIM,Não,Agressivo
2811,2584,f,2,Médio Completo,Não,Não,Não Investidor
2461,1305,n,5,Superior Incompleto,SIM,SIM,Conservador
3206,1532,m,2,Médio Incompleto,Não,SIM,Não Investidor
13961,10659,f,2,Pós graduado,SIM,Não,Moderado
24530,6750,f,3,Pós graduado,Não,Não,Agressivo
15317,5229,n,2,Superior Completo,Não,Não,Agressivo
16417,8023,n,2,Superior Completo,Não,SIM,Agressivo
3334,1158,f,5,Fundamental Completo,Não,Não,Não Investidor
15846,12645,f,1,Superior Incompleto,Não,Não,Moderado
2786,2170,f,4,Médio Completo,Não,SIM,Não Investidor
4760,2227,n,3,Fundamental Completo,SIM,Não,Não Investidor
3495,2232,m,3,Superior Completo,Não,Não,Conservador
8247,5834,n,1,Pós graduado,SIM,SIM,Moderado
7143,2159,m,4,Médio Completo,Não,Não,Conservador
2810,2056,f,3,Médio Incompleto,SIM,SIM,Não Investidor
16391,7124,f,2,Pós graduado,Não,Não,Moderado
3016,1257,m,4,Superior Incompleto,SIM,SIM,Não Investidor
3415,3183,m,3,Fundamental Incompleto,SIM,SIM,Não Investidor
4577,4068,m,4,Fundamental Completo,SIM,SIM,Não Investidor
8501,6979,f,2,Superior Completo,Não,SIM,Moderado
19737,6463,m,1,Pós graduado,SIM,Não,Agressivo
6951,6186,f,2,Médio Completo,Não,Não,Conservador
14876,11695,f,2,Pós graduado,SIM,Não,Moderado
10111,8878,m,2,Pós graduado,SIM,Não,Moderado
7180,4495,m,3,Superior Completo,Não,SIM,Conservador
2761,2090,m,2,Médio Incompleto,SIM,Não,Não Investidor
4651,3604,f,4,Médio Completo,Não,Não,Conservador
8417,5256,m,1,Superior Completo,Não,SIM,Moderado
19615,5255,m,1,Superior Completo,SIM,Não,Agressivo
1463,1047,m,5,Fundamental Completo,Não,Não,Não Investidor
4597,3762,n,5,Médio Completo,SIM,SIM,Não Investidor
1690,1290,m,5,Fundamental Incompleto,Não,Não,Não Investidor
10709,6928,n,2,Superior Incompleto,Não,SIM,Moderado
10116,6161,m,2,Superior Completo,Não,Não,Moderado
4930,4181,f,5,Superior Incompleto,SIM,Não,Conservador
1203,1122,n,5,Superior Incompleto,SIM,Não,Conservador
4549,3205,m,4,Médio Incompleto,SIM,SIM,Não Investidor
20594,8140,m,3,Superior Completo,SIM,SIM,Agressivo
19796,5430,m,3,Superior Completo,Não,SIM,Agressivo
6795,3052,m,2,Superior Completo,Não,SIM,Conservador
20004,8705,m,3,Superior Completo,SIM,Não,Agressivo
10255,6075,f,2,Superior Completo,SIM,Não,Moderado
8069,7810,m,1,Pós graduado,Não,Não,Moderado
19438,8501,m,3,Pós graduado,SIM,SIM,Agressivo
3585,2710,n,5,Superior Incompleto,SIM,SIM,Conservador
8578,3407,n,3,Superior Incompleto,SIM,Não,Conservador
5901,4961,m,2,Superior Completo,Não,SIM,Conservador
15996,5243,f,0,Pós graduado,Não,Não,Agressivo
13718,12054,m,2,Superior Completo,Não,SIM,Moderado
2446,1429,m,4,Superior Incompleto,SIM,SIM,Não Investidor
20426,8390,m,3,Pós graduado,SIM,SIM,Agressivo
4146,4020,m,2,Médio Incompleto,SIM,SIM,Não Investidor
9808,8886,f,1,Pós graduado,Não,SIM,Moderado
15527,8278,m,2,Pós graduado,SIM,Não,Agressivo
12575,6018,m,5,Médio Incompleto,Não,SIM,Moderado
13688,8879,f,1,Superior Completo,SIM,SIM,Moderado
23078,6547,m,2,Superior Completo,Não,SIM,Agressivo
6843,6517,n,4,Superior Incompleto,SIM,Não,Conservador
17155,9709,n,2,Pós graduado,Não,Não,Agressivo
2154,2110,f,4,Superior Completo,SIM,Não,Conservador
3960,1778,n,4,Fundamental Incompleto,Não,SIM,Não Investidor
17529,5896,m,2,Pós graduado,SIM,SIM,Agressivo
1963,1864,n,5,Médio Completo,Não,SIM,Não Investidor
20545,8683,m,0,Pós graduado,SIM,Não,Agressivo
23973,7090,f,2,Pós graduado,SIM,SIM,Agressivo
9615,6920,n,1,Pós graduado,SIM,Não,Moderado
2282,1835,m,5,Superior Incompleto,Não,SIM,Não Investidor
13496,4323,m,1,Fundamental Incompleto,SIM,Não,Não Investidor
14250,12296,f,1,Superior Incompleto,SIM,Não,Moderado
1563,1397,n,3,Fundamental Completo,Não,Não,Não Investidor
6232,6099,f,4,Superior Incompleto,Não,Não,Conservador
8218,7426,m,2,Superior Completo,SIM,SIM,Moderado
9217,8921,m,2,Superior Incompleto,Não,SIM,Conservador
1581,1408,f,3,Médio Completo,Não,SIM,Não Investidor
9107,8373,m,2,Médio Completo,Não,Não,Conservador
9187,5328,m,1,Superior Completo,SIM,Não,Moderado
9108,8562,m,2,Médio Completo,SIM,SIM,Conservador
12752,10677,f,2,Superior Completo,Não,Não,Moderado
20901,6461,m,2,Pós graduado,Não,SIM,Agressivo
9381,5967,f,2,Pós graduado,SIM,SIM,Moderado
23713,6438,m,0,Pós graduado,SIM,Não,Agressivo
8647,7753,f,2,Superior Incompleto,Não,Não,Conservador
9919,8479,m,1,Superior Incompleto,SIM,Não,Moderado
1458,1415,f,5,Pós graduado,SIM,SIM,Conservador
9013,6743,m,2,Superior Incompleto,Não,Não,Moderado
13761,7757,f,2,Pós graduado,SIM,Não,Moderado
